username,image,score,is_rrl
,obj737721793422308001.png,-1,False
,obj738172043433898052.png,-1,True
,obj742310330322933584.png,-1,False
,obj743574425097484353.png,-1,True
,obj743577998510281648.png,-1,False
,obj744855699741227822.png,-1,True
,obj746165149370433486.png,-1,False
,obj746177587595718242.png,-1,False
,obj746182123081188214.png,-1,False
,obj747509852091206691.png,-1,False
,obj753408594535268240.png,-1,True
,obj753908185131153123.png,-1,False
,obj754860911956606818.png,-1,True
,obj754862561224044455.png,-1,True
,obj754864897686261593.png,-1,True
,obj754882489872305036.png,-1,True
,obj754882627311259346.png,-1,False
,obj755362495417320758.png,-1,False
,obj756349719420095466.png,-1,False
,obj756352399479681885.png,-1,True
,obj756380368306717999.png,-1,False
,obj757830211826887370.png,-1,True
,obj759366023412466988.png,-1,False
,obj759410141316538215.png,-1,True
,obj759421067713333158.png,-1,True
,obj759475218661003815.png,-1,False
,obj760882730983496225.png,-1,False
,obj760904858655010795.png,-1,True
,obj760906301764025031.png,-1,True
,obj760910562371588939.png,-1,True
,obj760919427184081996.png,-1,True
,obj760978319775650698.png,-1,True
,obj762449260175170942.png,-1,True
,obj762455513647557036.png,-1,True
,obj762471112968777883.png,-1,False
,obj762524714160638444.png,-1,True
,obj764015720647370291.png,-1,False
,obj764035030820341027.png,-1,False
,obj764037436002030326.png,-1,False
,obj764043483315973121.png,-1,False
,obj764070696228767955.png,-1,False
,obj764087326342137314.png,-1,True
,obj764116394680796343.png,-1,False
,obj764135361256381686.png,-1,True
,obj765603071840492941.png,-1,True
,obj765618190125383850.png,-1,True
,obj765635919750386927.png,-1,True
,obj765637500298345258.png,-1,True
,obj765661071078868445.png,-1,True
,obj765700997094856825.png,-1,False
,obj765712060930608035.png,-1,True
,obj765752261824501195.png,-1,True
,obj767128644224025252.png,-1,False
,obj767211176315595994.png,-1,True
,obj767243474469674403.png,-1,False
,obj767269312992926122.png,-1,True
,obj767276116221119944.png,-1,True
,obj767304222487106691.png,-1,True
,obj768630783266017202.png,-1,True
,obj768635387470959422.png,-1,False
,obj768664043492760569.png,-1,True
,obj768675657084326594.png,-1,False
,obj768684659335782281.png,-1,True
,obj768820036704946198.png,-1,False
,obj768844981875008558.png,-1,True
,obj768895078373541880.png,-1,False
,obj768902293918602633.png,-1,False
,obj768957613097373779.png,-1,True
,obj770313242214946578.png,-1,False
,obj770318945931509621.png,-1,True
,obj770468616951839161.png,-1,False
,obj770478856153878215.png,-1,True
,obj770533350698932502.png,-1,True
,obj770554241419859053.png,-1,False
,obj770568122754160573.png,-1,False
,obj770724115966350235.png,-1,False
,obj771871799947322849.png,-1,True
,obj771878122139176792.png,-1,True
,obj771893377863015962.png,-1,True
,obj772103728181303229.png,-1,True
,obj772150113828079733.png,-1,False
,obj772200622643500013.png,-1,False
,obj772205845323735797.png,-1,False
,obj773497496608460438.png,-1,True
,obj773775260733425755.png,-1,True
,obj773852157827897438.png,-1,False
,obj773895038781378108.png,-1,False
,obj773900467620023688.png,-1,True
,obj773905965178161589.png,-1,False
,obj777136673937972548.png,-1,False
,obj777280984839111218.png,-1,False
,obj778313151379694811.png,-1,True
,obj778313701135504621.png,-1,False
,obj778948462942093902.png,-1,True
,obj780537257244250403.png,-1,False
,obj782245417277480310.png,-1,False
,obj782266170559451990.png,-1,False
,obj787284960103909424.png,-1,False
,obj788006583329128023.png,-1,False
,obj794822868226562658.png,-1,False
